date,ticker,ret_1d,ret_5d,ret_10d,ret_20d,rsi_14,atr_14_pct,volume_ratio_20,dist_ma20,dist_ma50,dist_ma200,rolling_vol_20,label_target_stop,label_median_return,forward_return
1981-12-09,AAPL,0.00666627,0.00666627,0.0486081,0.0272092,50,0.0184482,0.884214,0.012063,0.0166944,-0.201104,0.0260226,1,1,0.0529889
1981-12-10,AAPL,0,0.020269,0.0272092,0,50,0.0184482,0.95287,0.012063,0.0127394,-0.199961,0.0253554,1,1,-0.0132442
1981-12-11,AAPL,-0.00662212,-0.0131571,-0.00662212,-0.0384704,46.6667,0.0185712,1.85289,0.00738706,0.00226856,-0.203951,0.0242402,1,0,-0.0399976
1981-12-14,AAPL,-0.0333313,-0.0522845,-0.026844,0,50,0.0182264,0.611569,-0.0261905,-0.0328185,-0.229094,0.0199299,1,1,-0.0137923
1981-12-15,AAPL,0.0275845,-0.00666627,0,0.0419554,58.0645,0.0196545,0.750664,-0.0013404,-0.00785985,-0.206542,0.0205093,1,1,0.00671101
1981-12-16,AAPL,0.0469891,0.0331225,0.0400096,0.0685012,62.859,0.0206046,1.51446,0.042093,0.0358629,-0.168106,0.0223927,0,1,0.0256393
1981-12-17,AAPL,0.0833276,0.11921,0.141895,0.11921,70.4557,0.0228234,1.16057,0.122181,0.118317,-0.0978726,0.0276845,0,0,-0.0355007
1981-12-18,AAPL,0.0828456,0.220011,0.203959,0.211932,80.3584,0.0261517,1.56195,0.202374,0.205381,-0.0225615,0.0322885,0,0,-0.131148
1981-12-21,AAPL,-0.0437226,0.206896,0.143794,0.151319,70.3122,0.0302052,1.20429,0.14118,0.148744,-0.064948,0.0343624,0,0,-0.0742812
1981-12-22,AAPL,0.0171418,0.194631,0.186667,0.227585,71.2118,0.0304986,1.11263,0.148386,0.164766,-0.0488687,0.0321112,0,0,-0.0730293
1981-12-23,AAPL,-0.0224706,0.115377,0.152321,0.208333,69.1175,0.0320207,0.593158,0.111822,0.135621,-0.070266,0.0327142,0,0,-0.0459742
1981-12-24,AAPL,0.00574677,0.0355007,0.158943,0.190477,67.6922,0.0306133,0.608374,0.108297,0.137692,-0.0647981,0.0326303,0,0,-0.0799951
1981-12-28,AAPL,-0.0457115,-0.0874355,0.113339,0.105966,59.7227,0.0346451,0.770083,0.0523029,0.0830108,-0.107285,0.0344461,0,0,-0.0718517
1981-12-29,AAPL,0.0179629,-0.0285697,0.172415,0.140943,63.8891,0.034874,0.510101,0.0641644,0.0990437,-0.090885,0.0342621,0,0,-0.0823477
1981-12-30,AAPL,0.0411739,-0.00561764,0.18792,0.18792,66.6667,0.035916,0.671244,0.0983545,0.140168,-0.0530227,0.0349974,0,0,-0.09039
1981-12-31,AAPL,0,0.0172403,0.134606,0.180001,66.6667,0.035916,1.11981,0.0892297,0.137238,-0.0522875,0.0350523,0,0,-0.0790912
1982-01-04,AAPL,-0.00564937,0.00571393,0.0414175,0.18919,66.6667,0.0357143,1.38763,0.0738248,0.128059,-0.0569345,0.0348479,0,0,-0.0852221
1982-01-05,AAPL,-0.0511332,0,-0.0874355,0.0986902,63.4148,0.0393496,0.77435,0.0142751,0.0688705,-0.104221,0.0369591,0,1,-0.0299382
1982-01-06,AAPL,-0.0119753,-0.0294099,-0.0571393,0.0784385,60.0004,0.038528,1.41732,-0.00151005,0.0543159,-0.113783,0.0371499,0,1,-0.0181806
1982-01-07,AAPL,-0.0787936,-0.141244,-0.146069,0.0133325,47.6735,0.0441729,1.4717,-0.0807409,-0.0287575,-0.182272,0.041097,0,1,0.0394831
1982-01-08,AAPL,0.0460617,-0.101689,-0.0862016,0.0529889,43.7506,0.0395333,1.16205,-0.0407193,0.0154606,-0.143454,0.0422259,1,1,-0.00628888
1982-01-11,AAPL,-0.0629001,-0.15341,-0.148573,-0.0132442,27.6313,0.0397901,0.687139,-0.100515,-0.047073,-0.196118,0.0446407,1,1,-0.00671101
1982-01-12,AAPL,-0.033555,-0.137726,-0.137726,-0.0399976,28.7675,0.0396827,1.25622,-0.129121,-0.0773962,-0.221959,0.0452323,1,1,0.027776
1982-01-13,AAPL,-0.00694401,-0.133336,-0.158824,-0.0137923,25.3527,0.0384618,0.860473,-0.134645,-0.0818025,-0.226212,0.0446517,1,1,0.048948
