label,model,fold,test_year,auc,precision,recall,f1,brier,pos_rate_train,pos_rate_test
target_stop,lightgbm,6,1990,0.6307162534435262,0.515625,0.375,0.4342105263157895,0.2230054232036898,0.3308457711442786,0.34782608695652173
target_stop,logistic,7,1991,0.63506625891947,0.5354330708661418,0.6238532110091743,0.576271186440678,0.23621548679889903,0.32788334069818825,0.4308300395256917
target_stop,xgboost,7,1991,0.5290519877675841,0.4563106796116505,0.43119266055045874,0.44339622641509435,0.2791836624660794,0.32788334069818825,0.4308300395256917
target_stop,lightgbm,7,1991,0.5691258919469929,0.4727272727272727,0.47706422018348627,0.4748858447488584,0.26107488115282335,0.32788334069818825,0.4308300395256917
target_stop,logistic,8,1992,0.6372415994891851,0.35877862595419846,0.7014925373134329,0.47474747474747475,0.248498693119151,0.33624801271860094,0.2637795275590551
target_stop,xgboost,8,1992,0.6497725277356532,0.35344827586206895,0.6119402985074627,0.44808743169398907,0.2361678299486779,0.33624801271860094,0.2637795275590551
target_stop,lightgbm,8,1992,0.659350307287094,0.371900826446281,0.6716417910447762,0.4787234042553192,0.2347541638162361,0.33624801271860094,0.2637795275590551
target_stop,logistic,9,1993,0.4521329365079365,0.22388059701492538,0.46875,0.30303030303030304,0.264717044863568,0.33357400722021663,0.25296442687747034
target_stop,xgboost,9,1993,0.5329861111111112,0.2604166666666667,0.390625,0.3125,0.2775588649759716,0.33357400722021663,0.25296442687747034
target_stop,lightgbm,9,1993,0.5339781746031746,0.24324324324324326,0.421875,0.30857142857142855,0.27974571681342925,0.33357400722021663,0.25296442687747034
target_stop,logistic,10,1994,0.436734693877551,0.2357142857142857,0.4714285714285714,0.3142857142857143,0.26630247845651356,0.3271584518690043,0.2777777777777778
target_stop,xgboost,10,1994,0.44136577708006275,0.125,0.11428571428571428,0.11940298507462686,0.26713702294140507,0.3271584518690043,0.2777777777777778
target_stop,lightgbm,10,1994,0.4301412872841444,0.1111111111111111,0.1,0.10526315789473684,0.2734314790299649,0.3271584518690043,0.2777777777777778
target_stop,logistic,11,1995,0.4726930320150659,0.3076923076923077,0.4266666666666667,0.3575418994413408,0.25383866228145013,0.32091603053435114,0.2976190476190476
target_stop,xgboost,11,1995,0.4992090395480226,0.2465753424657534,0.24,0.24324324324324326,0.2477196969400936,0.32091603053435114,0.2976190476190476
target_stop,lightgbm,11,1995,0.5060640301318268,0.24285714285714285,0.22666666666666666,0.23448275862068965,0.24880540690510203,0.32091603053435114,0.2976190476190476
target_stop,logistic,12,1996,0.4420370370370371,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.25596229528938697,0.3226538134391834,0.2125984251968504
target_stop,xgboost,12,1996,0.4982407407407408,0.2196969696969697,0.5370370370370371,0.3118279569892473,0.27914906422955876,0.3226538134391834,0.2125984251968504
target_stop,lightgbm,12,1996,0.42194444444444446,0.17699115044247787,0.37037037037037035,0.23952095808383234,0.28450536892353495,0.3226538134391834,0.2125984251968504
target_stop,logistic,13,1997,0.4992389649923896,0.2777777777777778,0.3424657534246575,0.3067484662576687,0.24953477989526157,0.3163184342766464,0.2885375494071146
target_stop,xgboost,13,1997,0.5113394216133942,0.29411764705882354,0.410958904109589,0.34285714285714286,0.2553976056575502,0.3163184342766464,0.2885375494071146
target_stop,lightgbm,13,1997,0.4592085235920852,0.2807017543859649,0.4383561643835616,0.3422459893048128,0.2703885808664512,0.3163184342766464,0.2885375494071146
target_stop,logistic,14,1998,0.430181794487522,0.35658914728682173,0.44660194174757284,0.39655172413793105,0.2621985495987244,0.31284085275161133,0.4087301587301587
target_stop,xgboost,14,1998,0.5171043200625529,0.38738738738738737,0.4174757281553398,0.40186915887850466,0.2783846696744059,0.31284085275161133,0.4087301587301587
target_stop,lightgbm,14,1998,0.5161920896592168,0.4188034188034188,0.47572815533980584,0.44545454545454544,0.281436337366407,0.31284085275161133,0.4087301587301587
target_stop,logistic,15,1999,0.4342513453624564,0.40145985401459855,0.4700854700854701,0.4330708661417323,0.2581420574962282,0.3163789080727952,0.4642857142857143
target_stop,xgboost,15,1999,0.6557138334916113,0.6164383561643836,0.38461538461538464,0.47368421052631576,0.22994305215674088,0.3163789080727952,0.4642857142857143
target_stop,lightgbm,15,1999,0.6528648306426085,0.6206896551724138,0.46153846153846156,0.5294117647058824,0.23061344760670063,0.3163789080727952,0.4642857142857143
target_stop,logistic,16,2000,0.51798273657289,0.28160919540229884,0.7205882352941176,0.4049586776859504,0.2616483013514667,0.3263552225650066,0.2698412698412698
